Abbreviation	Subsystem_new	removed_duplicate_subsystem	evidence
r_2346	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2347	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2348	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2349	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2350	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2351	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2352	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2353	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2354	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2355	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2356	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2357	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2358	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2359	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2360	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2361	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2362	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2363	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2364	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2365	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2366	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2367	sce00561,sce00564  glycerolipid metabolism /  glycerophospholipid metabolism 		Phosphatidate phosphatase participates in 4 metabolic pathways: glycerolipid, glycerophospholipid, ether lipid, and sphingolipid metabolism.
r_2368	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2369	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2370	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2371	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2372	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2373	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2374	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2375	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2376	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2377	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2378	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2379	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2380	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2381	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2382	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2383	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2384	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2385	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2386	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2387	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2388	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2389	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2390	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2391	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2392	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2393	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2394	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2395	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2396	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2397	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2398	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2399	sce00561  glycerolipid metabolism 	sce00100 Steroid biosynthesis	kegg
r_2400	sce00561  glycerolipid metabolism 		
r_2401	sce00561  glycerolipid metabolism 		
r_2402	sce00561  glycerolipid metabolism 		
r_2403	sce00561  glycerolipid metabolism 		
r_2404	sce00561  glycerolipid metabolism 		
r_2405	sce00561  glycerolipid metabolism 		
r_2406	sce00561  glycerolipid metabolism 		
r_2407	sce00561  glycerolipid metabolism 		
r_2408	sce00561  glycerolipid metabolism 		
r_2409	sce00561  glycerolipid metabolism 		
r_2410	sce00561  glycerolipid metabolism 		
r_2411	sce00561  glycerolipid metabolism 		
r_2412	sce00561  glycerolipid metabolism 		
r_2413	sce00561  glycerolipid metabolism 		
r_2414	sce00561  glycerolipid metabolism 		
r_2415	sce00561  glycerolipid metabolism 		
r_2416	sce00561  glycerolipid metabolism 		
r_2417	sce00561  glycerolipid metabolism 		
r_2418	sce00561  glycerolipid metabolism 		
r_2419	sce00561  glycerolipid metabolism 		
r_2420	sce00561  glycerolipid metabolism 		
r_2421	sce00561  glycerolipid metabolism 		
r_2422	sce00561  glycerolipid metabolism 		
r_2423	sce00561  glycerolipid metabolism 		
r_2424	sce00561  glycerolipid metabolism 		
r_2425	sce00561  glycerolipid metabolism 		
r_2426	sce00561  glycerolipid metabolism 		
r_2427	sce00561  glycerolipid metabolism 		
r_2428	sce00561  glycerolipid metabolism 		
r_2429	sce00561  glycerolipid metabolism 		
r_2430	sce00561  glycerolipid metabolism 		
r_2431	sce00561  glycerolipid metabolism 		
r_2432	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2433	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2434	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2435	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2436	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2437	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2438	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2439	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2440	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2441	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2442	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2443	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2444	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2445	sce00564  glycerophospholipid metabolism 	sce04070 Phosphatidylinositol signaling system	Phospholipid biosynthesis in ito980
r_2446	sce00564  glycerophospholipid metabolism 	sce00260  Glycine, serine and threonine metabolism	Phospholipid biosynthesis in ito980
r_2447	sce00564  glycerophospholipid metabolism 	sce00260  Glycine, serine and threonine metabolism	Phospholipid biosynthesis in ito980
r_2448	sce00564  glycerophospholipid metabolism 	sce00260  Glycine, serine and threonine metabolism	Phospholipid biosynthesis in ito980
r_2449	sce00564  glycerophospholipid metabolism 	sce00260  Glycine, serine and threonine metabolism	Phospholipid biosynthesis in ito980
r_2450	sce00564  glycerophospholipid metabolism 	sce00260  Glycine, serine and threonine metabolism	Phospholipid biosynthesis in ito980
r_2451	sce00564  glycerophospholipid metabolism 	sce00260  Glycine, serine and threonine metabolism	Phospholipid biosynthesis in ito980
r_2452	sce00564  glycerophospholipid metabolism 	sce00260  Glycine, serine and threonine metabolism	Phospholipid biosynthesis in ito980
r_2453	sce00564  glycerophospholipid metabolism 	sce00260  Glycine, serine and threonine metabolism	Phospholipid biosynthesis in ito980
r_2454	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce00564 Glycerophospholipid metabolism	kegg
r_2455	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce00564 Glycerophospholipid metabolism	kegg
r_2456	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce00564 Glycerophospholipid metabolism	kegg
r_2457	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce00564 Glycerophospholipid metabolism	kegg
r_2458	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce00564 Glycerophospholipid metabolism	kegg
r_2459	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce00564 Glycerophospholipid metabolism	kegg
r_2460	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce00564 Glycerophospholipid metabolism	kegg
r_2461	sce00562  inositol phosphate metabolism 	sce04070 Phosphatidylinositol signaling system   sce00564 Glycerophospholipid metabolism	kegg
r_2462	sce00564  glycerophospholipid metabolism 		kegg
r_2463	sce00564  glycerophospholipid metabolism 		kegg
r_2464	sce00564  glycerophospholipid metabolism 		
r_2465	sce00564  glycerophospholipid metabolism 		
r_2466	sce00564  glycerophospholipid metabolism 		
r_2467	sce00564  glycerophospholipid metabolism 		
r_2468	sce00564  glycerophospholipid metabolism 		
r_2469	sce00564  glycerophospholipid metabolism 		
r_2470	sce00564  glycerophospholipid metabolism 		
r_2471	sce00564  glycerophospholipid metabolism 		
r_2472	sce00564  glycerophospholipid metabolism 		
r_2473	sce00564  glycerophospholipid metabolism 		
r_2474	sce00564  glycerophospholipid metabolism 		
r_2475	sce00564  glycerophospholipid metabolism 		
r_2476	sce00564  glycerophospholipid metabolism 		
r_2477	sce00564  glycerophospholipid metabolism 		
r_2478	sce00564  glycerophospholipid metabolism 		
r_2479	sce00564  glycerophospholipid metabolism 		
r_2480	sce00564  glycerophospholipid metabolism 		
r_2481	sce00564  glycerophospholipid metabolism 		
r_2482	sce00564  glycerophospholipid metabolism 		
r_2483	sce00564  glycerophospholipid metabolism 		
r_2484	sce00564  glycerophospholipid metabolism 		
r_2485	sce00564  glycerophospholipid metabolism 		
r_2486	sce00564  glycerophospholipid metabolism 		
r_2487	sce00564  glycerophospholipid metabolism 		
r_2488	sce00564  glycerophospholipid metabolism 		
r_2489	sce00564  glycerophospholipid metabolism 		
r_2490	sce00564  glycerophospholipid metabolism 		
r_2491	sce00564  glycerophospholipid metabolism 		
r_2492	sce00564  glycerophospholipid metabolism 		
r_2493	sce00564  glycerophospholipid metabolism 		
r_2494	sce00564  glycerophospholipid metabolism 		
r_2495	sce00564  glycerophospholipid metabolism 		
r_2496	sce00564  glycerophospholipid metabolism 		
r_2497	sce00564  glycerophospholipid metabolism 		
r_2498	sce00564  glycerophospholipid metabolism 		
r_2499	sce00564  glycerophospholipid metabolism 		
r_2500	sce00564  glycerophospholipid metabolism 		
r_2501	sce00564  glycerophospholipid metabolism 		
r_2502	sce00564  glycerophospholipid metabolism 		
r_2503	sce00564  glycerophospholipid metabolism 		
r_2504	sce00564  glycerophospholipid metabolism 		
r_2505	sce00564  glycerophospholipid metabolism 		
r_2506	sce00564  glycerophospholipid metabolism 		
r_2507	sce00564  glycerophospholipid metabolism 		
r_2508	sce00564  glycerophospholipid metabolism 		
r_2509	sce00564  glycerophospholipid metabolism 		
r_2510	sce00564  glycerophospholipid metabolism 		
r_2511	sce00564  glycerophospholipid metabolism 		
r_2512	sce00564  glycerophospholipid metabolism 		
r_2513	sce00564  glycerophospholipid metabolism 		
r_2514	sce00564  glycerophospholipid metabolism 		
r_2515	sce00564  glycerophospholipid metabolism 		
r_2516	sce00564  glycerophospholipid metabolism 		
r_2517	sce00564  glycerophospholipid metabolism 		
r_2518	sce00564  glycerophospholipid metabolism 		
r_2519	sce00564  glycerophospholipid metabolism 		
r_2520	sce00564  glycerophospholipid metabolism 	sce00440 Phosphonate and phosphinate metabolism	Phospholipid biosynthesis in ito980
r_2521	sce00564  glycerophospholipid metabolism 	sce00440 Phosphonate and phosphinate metabolism	Phospholipid biosynthesis in ito980
r_2522	sce00564  glycerophospholipid metabolism 	sce00440 Phosphonate and phosphinate metabolism	Phospholipid biosynthesis in ito980
r_2523	sce00564  glycerophospholipid metabolism 	sce00440 Phosphonate and phosphinate metabolism	Phospholipid biosynthesis in ito980
r_2524	sce00564  glycerophospholipid metabolism 	sce00440 Phosphonate and phosphinate metabolism	Phospholipid biosynthesis in ito980
